CloseBTC,CloseETH,BTCNorm,ETHNorm
277.9,3.00,0.02,0.01
258.6,1.20,0.02,0.00
263.9,1.20,0.02,0.00
263.3,1.20,0.02,0.00
269.0,0.99,0.02,0.00
267.7,1.29,0.02,0.00
263.4,1.88,0.02,0.00
265.0,1.79,0.02,0.00
260.5,1.79,0.02,0.00
257.1,1.37,0.02,0.00
257.1,1.30,0.02,0.00
246.7,1.36,0.01,0.00
226.0,1.24,0.01,0.00
234.7,1.52,0.01,0.00
232.4,1.44,0.01,0.00
229.5,1.40,0.01,0.00
226.8,1.35,0.01,0.00
211.4,1.24,0.01,0.00
220.5,1.27,0.01,0.00
225.0,1.18,0.01,0.00
222.7,1.14,0.01,0.00
231.6,1.30,0.01,0.00
228.5,1.18,0.01,0.00
228.4,1.32,0.01,0.00
229.5,1.31,0.01,0.00
227.2,1.36,0.01,0.00
228.6,1.14,0.01,0.00
226.2,1.23,0.01,0.00
230.3,1.35,0.01,0.00
233.7,1.37,0.01,0.00
239.9,1.34,0.01,0.00
239.6,1.28,0.01,0.00
243.2,1.26,0.01,0.00
237.4,1.21,0.01,0.00
238.1,1.19,0.01,0.00
239.9,0.92,0.01,0.00
235.6,1.15,0.01,0.00
230.2,0.89,0.01,0.00
229.9,0.96,0.01,0.00
229.5,0.95,0.01,0.00
228.6,0.94,0.01,0.00
232.7,0.88,0.01,0.00
232.2,0.85,0.01,0.00
231.1,0.89,0.01,0.00
231.1,0.89,0.01,0.00
226.3,0.94,0.01,0.00
230.0,0.81,0.01,0.00
229.9,0.91,0.01,0.00
233.8,0.80,0.01,0.00
235.0,0.68,0.01,0.00
234.3,0.77,0.01,0.00
232.5,0.70,0.01,0.00
238.9,0.60,0.01,0.00
236.7,0.68,0.01,0.00
235.9,0.71,0.01,0.00
237.1,0.65,0.01,0.00
236.7,0.66,0.01,0.00
238.6,0.68,0.01,0.00
261.7,0.51,0.02,0.00
263.8,0.50,0.02,0.00
269.8,0.44,0.02,0.00
267.1,0.42,0.02,0.00
274.4,0.61,0.02,0.00
276.9,0.56,0.02,0.00
282.6,0.56,0.02,0.00
287.9,0.62,0.02,0.00
285.1,0.71,0.02,0.00
462.6,1.00,0.03,0.00
454.0,0.80,0.03,0.00
455.5,0.94,0.03,0.00
463.2,0.90,0.03,0.00
461.2,0.89,0.03,0.00
441.8,1.07,0.03,0.00
437.6,0.91,0.03,0.00
437.0,0.88,0.03,0.00
442.4,0.87,0.03,0.00
453.0,0.87,0.03,0.00
454.0,0.88,0.03,0.00
415.4,0.85,0.02,0.00
422.4,0.92,0.03,0.00
421.8,0.87,0.03,0.00
431.9,0.86,0.03,0.00
427.1,0.89,0.03,0.00
430.0,0.95,0.03,0.00
434.0,0.92,0.03,0.00
433.7,0.95,0.03,0.00
430.7,0.96,0.03,0.00
433.3,0.95,0.03,0.00
431.2,0.94,0.03,0.00
430.8,0.95,0.03,0.00
457.0,0.94,0.03,0.00
452.9,0.99,0.03,0.00
448.3,0.99,0.03,0.00
446.2,1.00,0.03,0.00
447.7,1.08,0.03,0.00
445.0,1.22,0.03,0.00
432.2,1.14,0.03,0.00
429.1,1.16,0.03,0.00
372.3,1.20,0.02,0.00
385.0,1.22,0.02,0.00
382.5,1.31,0.02,0.00
384.4,1.47,0.02,0.00
379.5,1.22,0.02,0.00
414.6,1.54,0.02,0.00
410.2,1.54,0.02,0.00
382.6,1.52,0.02,0.00
388.6,2.03,0.02,0.00
402.1,2.10,0.02,0.00
392.8,2.50,0.02,0.01
389.8,2.30,0.02,0.00
395.0,2.42,0.02,0.01
379.7,2.55,0.02,0.01
380.3,2.41,0.02,0.01
377.8,2.44,0.02,0.01
369.8,2.20,0.02,0.00
372.2,2.17,0.02,0.00
373.9,2.45,0.02,0.01
368.0,2.53,0.02,0.01
390.6,2.57,0.02,0.01
386.5,2.56,0.02,0.01
376.7,2.53,0.02,0.01
377.9,3.00,0.02,0.01
372.6,3.16,0.02,0.01
375.3,3.76,0.02,0.01
381.9,4.35,0.02,0.01
379.5,6.38,0.02,0.01
384.0,5.27,0.02,0.01
390.1,5.22,0.02,0.01
405.5,5.20,0.02,0.01
401.1,5.22,0.02,0.01
406.4,4.25,0.02,0.01
417.1,3.86,0.02,0.01
421.4,4.36,0.03,0.01
420.0,4.45,0.02,0.01
440.1,4.37,0.03,0.01
437.9,4.63,0.03,0.01
437.8,5.60,0.03,0.01
419.9,5.70,0.02,0.01
422.7,6.23,0.03,0.01
423.5,5.93,0.03,0.01
427.3,6.03,0.03,0.01
431.3,6.31,0.03,0.01
432.5,6.50,0.03,0.01
436.2,6.35,0.03,0.01
434.0,7.59,0.03,0.02
425.4,8.70,0.03,0.02
419.6,9.35,0.02,0.02
409.5,9.96,0.02,0.02
399.0,11.00,0.02,0.02
406.0,10.98,0.02,0.02
414.9,9.50,0.02,0.02
411.9,9.88,0.02,0.02
412.8,11.55,0.02,0.02
415.8,11.11,0.02,0.02
419.1,11.25,0.02,0.02
410.4,13.25,0.02,0.03
412.4,15.00,0.02,0.03
414.3,12.50,0.02,0.03
415.1,13.09,0.02,0.03
415.9,12.92,0.02,0.03
418.2,11.14,0.02,0.02
408.2,10.75,0.02,0.02
408.7,10.55,0.02,0.02
411.5,10.06,0.02,0.02
411.1,11.97,0.02,0.03
416.2,10.96,0.02,0.02
417.0,12.29,0.02,0.03
414.7,11.13,0.02,0.02
415.7,10.69,0.02,0.02
416.5,11.00,0.02,0.02
424.6,10.50,0.03,0.02
422.2,11.58,0.03,0.02
415.0,11.73,0.02,0.02
412.4,11.88,0.02,0.02
415.7,11.41,0.02,0.02
415.6,11.63,0.02,0.02
418.5,11.61,0.02,0.02
419.1,11.58,0.02,0.02
419.3,11.10,0.02,0.02
422.1,10.39,0.03,0.02
421.3,10.79,0.03,0.02
420.1,10.08,0.02,0.02
417.7,9.74,0.02,0.02
418.0,9.16,0.02,0.02
420.3,8.80,0.02,0.02
421.4,8.72,0.03,0.02
424.7,7.53,0.03,0.02
423.5,8.02,0.03,0.02
424.0,8.48,0.03,0.02
428.7,8.22,0.03,0.02
430.0,8.48,0.03,0.02
426.3,9.45,0.03,0.02
427.7,8.92,0.03,0.02
434.9,8.77,0.03,0.02
441.2,8.54,0.03,0.02
449.3,8.15,0.03,0.02
445.3,7.83,0.03,0.02
450.1,8.31,0.03,0.02
457.6,8.00,0.03,0.02
461.7,7.43,0.03,0.02
466.0,7.50,0.03,0.02
447.0,7.77,0.03,0.02
448.5,7.30,0.03,0.02
455.0,7.51,0.03,0.02
448.5,8.83,0.03,0.02
452.2,8.76,0.03,0.02
444.2,10.03,0.03,0.02
450.3,9.37,0.03,0.02
445.8,9.43,0.03,0.02
448.1,9.79,0.03,0.02
459.6,9.27,0.03,0.02
458.5,9.30,0.03,0.02
457.9,9.44,0.03,0.02
460.4,9.32,0.03,0.02
449.4,9.39,0.03,0.02
452.5,9.97,0.03,0.02
454.4,10.10,0.03,0.02
455.4,10.48,0.03,0.02
456.4,10.14,0.03,0.02
458.1,9.94,0.03,0.02
454.9,11.04,0.03,0.02
453.3,12.26,0.03,0.03
454.2,13.29,0.03,0.03
442.7,14.49,0.03,0.03
442.1,13.73,0.03,0.03
443.6,13.95,0.03,0.03
439.6,14.21,0.03,0.03
443.7,13.45,0.03,0.03
446.1,12.62,0.03,0.03
449.8,12.53,0.03,0.03
453.3,12.37,0.03,0.03
474.0,11.11,0.03,0.02
524.2,11.56,0.03,0.02
516.0,12.28,0.03,0.03
532.3,12.48,0.03,0.03
528.9,13.85,0.03,0.03
537.4,13.83,0.03,0.03
537.1,13.78,0.03,0.03
567.0,13.78,0.03,0.03
572.0,13.66,0.03,0.03
574.9,13.85,0.03,0.03
583.6,13.96,0.03,0.03
575.6,14.41,0.03,0.03
580.5,14.44,0.03,0.03
574.7,14.49,0.03,0.03
577.9,13.97,0.03,0.03
591.6,14.01,0.04,0.03
666.5,15.57,0.04,0.03
700.1,17.55,0.04,0.04
685.1,18.70,0.04,0.04
690.8,18.30,0.04,0.04
761.2,20.61,0.05,0.04
743.9,15.49,0.04,0.03
753.8,11.36,0.04,0.02
761.0,12.33,0.05,0.03
734.0,11.70,0.04,0.02
667.4,12.71,0.04,0.03
590.6,13.21,0.04,0.03
620.8,13.58,0.04,0.03
656.9,14.25,0.04,0.03
663.5,14.28,0.04,0.03
625.4,13.82,0.04,0.03
644.7,14.04,0.04,0.03
644.9,12.15,0.04,0.03
636.5,12.76,0.04,0.03
670.0,12.40,0.04,0.03
674.6,12.23,0.04,0.03
698.1,12.04,0.04,0.03
661.6,11.85,0.04,0.02
675.2,11.34,0.04,0.02
663.7,10.45,0.04,0.02
672.7,10.51,0.04,0.02
635.3,10.07,0.04,0.02
662.8,11.30,0.04,0.02
651.8,10.92,0.04,0.02
647.1,10.97,0.04,0.02
646.7,10.58,0.04,0.02
670.6,10.54,0.04,0.02
661.2,10.44,0.04,0.02
657.3,11.55,0.04,0.02
664.2,11.88,0.04,0.02
660.7,11.59,0.04,0.02
676.3,11.19,0.04,0.02
670.4,11.03,0.04,0.02
671.1,11.63,0.04,0.02
664.4,12.54,0.04,0.03
664.6,12.66,0.04,0.03
651.1,14.82,0.04,0.03
655.2,14.40,0.04,0.03
659.3,12.63,0.04,0.03
654.0,13.84,0.04,0.03
654.4,12.08,0.04,0.03
654.5,13.05,0.04,0.03
654.1,12.87,0.04,0.03
655.4,12.87,0.04,0.03
654.7,12.57,0.04,0.03
621.9,11.86,0.04,0.02
607.0,11.04,0.04,0.02
513.4,8.30,0.03,0.02
566.4,10.42,0.03,0.02
576.2,11.21,0.03,0.02
574.7,11.05,0.03,0.02
586.5,10.95,0.03,0.02
590.8,10.98,0.04,0.02
589.2,11.29,0.03,0.02
585.3,12.22,0.03,0.03
590.9,12.22,0.04,0.03
587.8,11.68,0.03,0.02
587.1,11.78,0.03,0.02
584.6,11.56,0.03,0.02
569.1,11.21,0.03,0.02
567.0,11.21,0.03,0.02
580.2,11.17,0.03,0.02
572.3,10.77,0.03,0.02
573.4,10.77,0.03,0.02
574.6,10.71,0.03,0.02
582.6,11.28,0.03,0.02
580.7,11.14,0.03,0.02
587.5,11.07,0.03,0.02
583.6,11.01,0.03,0.02
579.7,11.01,0.03,0.02
578.0,11.35,0.03,0.02
579.4,11.26,0.03,0.02
570.3,11.19,0.03,0.02
575.0,10.99,0.03,0.02
574.2,10.95,0.03,0.02
577.3,11.21,0.03,0.02
573.9,11.55,0.03,0.02
572.0,12.21,0.03,0.03
575.3,12.08,0.03,0.03
598.8,11.85,0.04,0.02
609.5,11.71,0.04,0.02
605.8,11.75,0.04,0.02
610.4,11.70,0.04,0.02
613.2,11.59,0.04,0.02
625.6,11.39,0.04,0.02
623.2,11.72,0.04,0.02
624.5,12.05,0.04,0.03
605.6,11.64,0.04,0.02
608.0,11.89,0.04,0.03
608.6,11.92,0.04,0.03
609.5,11.97,0.04,0.03
608.1,11.96,0.04,0.03
607.8,12.61,0.04,0.03
607.1,12.83,0.04,0.03
610.7,12.39,0.04,0.03
609.8,12.93,0.04,0.03
609.2,14.72,0.04,0.03
597.2,13.72,0.04,0.03
595.6,13.11,0.04,0.03
602.9,13.36,0.04,0.03
602.6,12.91,0.04,0.03
601.5,13.05,0.04,0.03
606.5,12.89,0.04,0.03
605.5,13.09,0.04,0.03
604.7,13.30,0.04,0.03
604.7,13.17,0.04,0.03
608.1,13.24,0.04,0.03
613.4,13.21,0.04,0.03
610.7,13.23,0.04,0.03
611.6,13.45,0.04,0.03
609.0,13.32,0.04,0.03
611.8,13.09,0.04,0.03
611.0,12.87,0.04,0.03
616.0,12.68,0.04,0.03
617.7,12.24,0.04,0.03
615.8,12.06,0.04,0.03
617.3,11.74,0.04,0.02
640.5,11.75,0.04,0.02
636.0,11.77,0.04,0.02
635.6,12.02,0.04,0.03
637.9,11.90,0.04,0.03
637.0,11.96,0.04,0.03
640.1,11.93,0.04,0.03
637.4,11.98,0.04,0.03
635.3,12.50,0.04,0.03
629.1,11.98,0.04,0.03
628.3,12.05,0.04,0.03
630.5,12.07,0.04,0.03
655.5,12.06,0.04,0.03
653.0,11.95,0.04,0.03
650.5,11.93,0.04,0.03
651.0,11.38,0.04,0.02
674.7,11.50,0.04,0.02
682.3,11.43,0.04,0.02
686.2,11.08,0.04,0.02
715.0,10.39,0.04,0.02
697.3,11.22,0.04,0.02
698.7,10.91,0.04,0.02
726.8,10.75,0.04,0.02
733.5,10.82,0.04,0.02
684.9,10.86,0.04,0.02
702.1,11.13,0.04,0.02
702.1,11.11,0.04,0.02
709.9,10.97,0.04,0.02
705.4,10.90,0.04,0.02
710.9,10.86,0.04,0.02
721.4,10.64,0.04,0.02
714.6,10.52,0.04,0.02
715.0,10.29,0.04,0.02
704.3,9.96,0.04,0.02
702.0,10.13,0.04,0.02
704.6,10.00,0.04,0.02
711.1,10.22,0.04,0.02
740.3,10.01,0.04,0.02
737.5,9.95,0.04,0.02
747.0,9.53,0.04,0.02
747.9,9.70,0.04,0.02
728.5,9.57,0.04,0.02
736.2,9.56,0.04,0.02
749.3,9.84,0.04,0.02
741.1,9.78,0.04,0.02
735.3,9.22,0.04,0.02
740.4,9.39,0.04,0.02
734.1,9.34,0.04,0.02
729.4,8.91,0.04,0.02
733.3,8.66,0.04,0.02
732.6,8.18,0.04,0.02
742.5,8.59,0.04,0.02
752.6,8.44,0.04,0.02
770.9,7.65,0.05,0.02
764.2,7.90,0.05,0.02
766.4,7.54,0.05,0.02
754.3,6.69,0.04,0.01
758.2,7.61,0.04,0.02
765.6,8.35,0.05,0.02
768.5,8.30,0.05,0.02
770.5,8.52,0.05,0.02
774.0,8.09,0.05,0.02
767.9,8.20,0.05,0.02
778.5,8.45,0.05,0.02
778.7,8.40,0.05,0.02
776.5,8.23,0.05,0.02
775.2,7.76,0.05,0.02
782.0,7.85,0.05,0.02
787.2,7.66,0.05,0.02
789.0,7.89,0.05,0.02
789.8,7.61,0.05,0.02
799.1,7.59,0.05,0.02
829.2,7.87,0.05,0.02
860.2,7.64,0.05,0.02
917.2,7.16,0.05,0.02
891.1,7.23,0.05,0.02
891.1,7.19,0.05,0.02
898.4,7.21,0.05,0.02
925.8,7.15,0.05,0.02
972.2,7.57,0.06,0.02
971.1,8.21,0.06,0.02
959.0,8.16,0.06,0.02
963.4,8.05,0.06,0.02
995.4,8.14,0.06,0.02
1017.0,8.33,0.06,0.02
1033.3,9.59,0.06,0.02
1135.4,10.88,0.07,0.02
989.3,10.20,0.06,0.02
886.2,10.07,0.05,0.02
888.9,9.78,0.05,0.02
900.9,10.27,0.05,0.02
899.8,10.20,0.05,0.02
904.4,10.55,0.05,0.02
785.4,9.83,0.05,0.02
810.1,9.81,0.05,0.02
824.8,9.78,0.05,0.02
819.6,9.78,0.05,0.02
821.2,9.88,0.05,0.02
827.3,9.59,0.05,0.02
1008.2,12.97,0.06,0.03
1031.9,12.95,0.06,0.03
1049.4,12.72,0.06,0.03
1052.3,12.83,0.06,0.03
1048.9,12.82,0.06,0.03
1077.6,12.52,0.06,0.03
1119.0,12.77,0.07,0.03
1120.5,12.69,0.07,0.03
1171.9,13.13,0.07,0.03
1176.5,13.11,0.07,0.03
1149.1,13.57,0.07,0.03
1171.6,14.59,0.07,0.03
1188.8,15.55,0.07,0.03
1189.3,16.07,0.07,0.03
1222.7,17.55,0.07,0.04
1255.5,19.08,0.07,0.04
1283.3,19.48,0.08,0.04
1264.3,18.61,0.08,0.04
1271.2,19.22,0.08,0.04
1277.0,19.75,0.08,0.04
1232.7,18.91,0.07,0.04
1147.0,16.54,0.07,0.03
1191.3,17.71,0.07,0.04
1112.4,19.13,0.07,0.04
1179.2,21.45,0.07,0.05
1225.1,23.31,0.07,0.05
1238.2,28.45,0.07,0.06
1243.1,28.58,0.07,0.06
1253.4,35.18,0.07,0.07
1172.9,45.51,0.07,0.10
1071.7,44.48,0.06,0.09
971.4,34.00,0.06,0.07
1022.6,43.12,0.06,0.09
1047.5,42.51,0.06,0.09
1121.3,42.67,0.07,0.09
1044.7,41.65,0.06,0.09
1035.0,43.20,0.06,0.09
939.7,53.19,0.06,0.11
966.3,50.62,0.06,0.11
969.4,50.63,0.06,0.11
1045.1,49.06,0.06,0.10
1044.4,50.25,0.06,0.11
1041.9,53.07,0.06,0.11
1037.9,51.91,0.06,0.11
1079.1,49.91,0.06,0.11
1086.1,50.60,0.06,0.11
1097.4,48.55,0.07,0.10
1147.6,44.13,0.07,0.09
1141.8,44.43,0.07,0.09
1129.9,44.90,0.07,0.09
1188.7,43.23,0.07,0.09
1190.5,42.31,0.07,0.09
1180.8,44.37,0.07,0.09
1204.3,43.72,0.07,0.09
1206.7,43.74,0.07,0.09
1220.7,43.74,0.07,0.09
1212.5,46.38,0.07,0.10
1176.2,49.97,0.07,0.11
1177.3,47.32,0.07,0.10
1177.0,48.89,0.07,0.10
1176.8,48.22,0.07,0.10
1194.0,47.94,0.07,0.10
1206.1,49.88,0.07,0.10
1215.2,47.88,0.07,0.10
1238.1,49.36,0.07,0.10
1249.6,48.27,0.07,0.10
1240.9,48.41,0.07,0.10
1249.1,48.75,0.07,0.10
1248.2,49.94,0.07,0.11
1264.3,50.09,0.08,0.11
1286.6,53.28,0.08,0.11
1332.9,63.14,0.08,0.13
1329.6,72.42,0.08,0.15
1336.3,69.83,0.08,0.15
1351.9,79.83,0.08,0.17
1415.8,77.53,0.08,0.16
1445.9,77.25,0.09,0.16
1485.6,80.37,0.09,0.17
1516.8,94.55,0.09,0.20
1507.8,90.79,0.09,0.19
1545.3,94.82,0.09,0.20
1554.4,90.46,0.09,0.19
1664.5,88.39,0.10,0.19
1697.5,86.27,0.10,0.18
1752.3,87.83,0.10,0.18
1819.3,88.20,0.11,0.19
1686.4,85.15,0.10,0.18
1763.7,87.96,0.10,0.19
1772.6,88.72,0.11,0.19
1708.9,90.32,0.10,0.19
1729.3,87.80,0.10,0.18
1801.3,86.98,0.11,0.18
1881.0,95.88,0.11,0.20
1962.0,124.38,0.12,0.26
2040.2,123.06,0.12,0.26
2044.2,148.00,0.12,0.31
2124.4,160.39,0.13,0.34
2272.6,169.50,0.13,0.36
2445.3,193.03,0.15,0.41
2307.2,177.33,0.14,0.37
2244.9,162.83,0.13,0.34
2052.4,156.63,0.12,0.33
2189.0,172.86,0.13,0.36
2278.2,194.17,0.14,0.41
2192.6,228.58,0.13,0.48
2303.3,228.64,0.14,0.48
2412.6,220.70,0.14,0.46
2492.6,222.04,0.15,0.47
2545.4,224.30,0.15,0.47
2524.1,244.96,0.15,0.52
2705.0,247.75,0.16,0.52
2870.5,264.26,0.17,0.56
2691.5,255.77,0.16,0.54
2798.8,259.41,0.17,0.55
2811.4,279.11,0.17,0.59
2900.3,335.95,0.17,0.71
2973.4,339.68,0.18,0.71
2656.8,394.66,0.16,0.83
2713.0,388.09,0.16,0.82
2467.3,343.84,0.15,0.72
2442.5,344.68,0.14,0.73
2508.6,353.61,0.15,0.74
2655.1,368.10,0.16,0.77
2539.6,351.53,0.15,0.74
2616.8,358.20,0.16,0.75
2754.4,350.53,0.16,0.74
2677.6,325.30,0.16,0.68
2722.8,320.97,0.16,0.68
2710.4,326.85,0.16,0.69
2590.1,304.54,0.15,0.64
2541.6,279.36,0.15,0.59
2446.1,253.68,0.15,0.53
2583.8,286.14,0.15,0.60
2577.7,315.86,0.15,0.66
2558.4,292.90,0.15,0.62
2480.6,280.68,0.15,0.59
2424.6,261.00,0.14,0.55
2536.5,283.99,0.15,0.60
2572.5,276.41,0.15,0.58
2617.3,269.05,0.16,0.57
2627.9,266.00,0.16,0.56
2614.2,265.88,0.16,0.56
2513.9,240.94,0.15,0.51
2564.9,245.67,0.15,0.52
2511.4,237.72,0.15,0.50
2344.0,205.76,0.14,0.43
2324.3,190.55,0.14,0.40
2403.1,224.15,0.14,0.47
2362.4,205.41,0.14,0.43
2234.2,197.14,0.13,0.41
1975.1,169.10,0.12,0.36
1914.1,155.42,0.11,0.33
2233.4,189.97,0.13,0.40
2320.2,227.09,0.14,0.48
2282.6,194.41,0.14,0.41
2866.0,226.33,0.17,0.48
2675.1,216.33,0.16,0.46
2836.5,230.47,0.17,0.48
2756.6,228.32,0.16,0.48
2763.4,225.48,0.16,0.47
2582.6,203.59,0.15,0.43
2559.2,202.88,0.15,0.43
2691.9,202.93,0.16,0.43
2806.8,191.21,0.17,0.40
2733.5,206.14,0.16,0.43
2766.5,196.78,0.16,0.41
2883.3,201.33,0.17,0.42
2747.0,225.90,0.16,0.48
2720.5,218.12,0.16,0.46
2810.0,224.39,0.17,0.47
2878.5,220.60,0.17,0.46
3262.8,253.09,0.19,0.53
3232.0,264.56,0.19,0.56
3401.9,269.94,0.20,0.57
3429.4,296.51,0.20,0.62
3348.8,295.28,0.20,0.62
3425.7,298.28,0.20,0.63
3654.4,309.32,0.22,0.65
3871.6,308.02,0.23,0.65
4062.6,296.62,0.24,0.62
4327.9,299.16,0.26,0.63
4161.7,286.52,0.25,0.60
4387.4,301.38,0.26,0.63
4278.9,300.30,0.25,0.63
4105.4,292.62,0.24,0.62
4150.5,293.02,0.25,0.62
4066.6,298.20,0.24,0.63
4005.1,321.85,0.24,0.68
4089.7,313.37,0.24,0.66
4141.1,317.40,0.25,0.67
4318.4,325.28,0.26,0.68
4364.4,330.06,0.26,0.69
4352.3,332.86,0.26,0.70
4345.8,347.88,0.26,0.73
4390.3,347.66,0.26,0.73
4597.3,372.35,0.27,0.78
4583.0,383.86,0.27,0.81
4735.1,388.33,0.28,0.82
4921.9,391.42,0.29,0.82
4573.8,351.03,0.27,0.74
4612.9,352.45,0.27,0.74
4267.5,303.70,0.25,0.64
4409.1,317.94,0.26,0.67
4618.7,338.92,0.27,0.71
4635.6,335.37,0.28,0.71
4326.5,306.72,0.26,0.65
4335.1,303.79,0.26,0.64
4245.9,299.21,0.25,0.63
4217.9,297.95,0.25,0.63
4158.9,294.10,0.25,0.62
3870.3,275.84,0.23,0.58
3243.1,223.14,0.19,0.47
3713.8,259.57,0.22,0.55
3698.9,254.49,0.22,0.54
3689.6,258.40,0.22,0.54
4100.3,297.53,0.24,0.63
3908.0,283.00,0.23,0.60
3882.2,283.56,0.23,0.60
3617.3,257.77,0.21,0.54
3600.8,262.94,0.21,0.55
3788.0,286.14,0.22,0.60
3667.5,282.60,0.22,0.59
3932.8,294.89,0.23,0.62
3892.7,288.64,0.23,0.61
4212.2,309.97,0.25,0.65
4195.6,302.77,0.25,0.64
4172.8,292.58,0.25,0.62
4360.6,302.77,0.26,0.64
4403.1,303.95,0.26,0.64
4401.3,296.81,0.26,0.62
4314.2,291.81,0.26,0.61
4218.7,291.68,0.25,0.61
4321.4,294.99,0.26,0.62
4371.9,308.33,0.26,0.65
4435.8,311.26,0.26,0.65
4611.7,309.49,0.27,0.65
4777.5,296.95,0.28,0.62
4763.4,298.46,0.28,0.63
4824.2,302.86,0.29,0.64
5432.6,302.89,0.32,0.64
5637.3,336.83,0.33,0.71
5824.7,338.81,0.35,0.71
5688.1,336.58,0.34,0.71
5759.3,334.23,0.34,0.70
5598.6,316.14,0.33,0.67
5575.8,313.54,0.33,0.66
5698.6,307.41,0.34,0.65
5993.1,303.08,0.36,0.64
6006.6,299.55,0.36,0.63
5982.9,294.03,0.36,0.62
5903.6,285.27,0.35,0.60
5513.1,296.50,0.33,0.62
5734.0,296.35,0.34,0.62
5887.6,295.54,0.35,0.62
5764.6,296.36,0.34,0.62
5726.6,293.35,0.34,0.62
6147.5,304.04,0.36,0.64
6124.3,306.80,0.36,0.65
6451.2,303.64,0.38,0.64
6737.8,289.42,0.40,0.61
7024.8,284.92,0.42,0.60
7152.1,304.51,0.42,0.64
7363.8,300.04,0.44,0.63
7389.5,296.23,0.44,0.62
6959.2,296.82,0.41,0.62
7102.8,291.84,0.42,0.61
7444.4,307.35,0.44,0.65
7129.6,319.66,0.42,0.67
6565.8,296.86,0.39,0.62
6339.9,314.23,0.38,0.66
5878.1,306.02,0.35,0.64
6522.5,314.60,0.39,0.66
6597.1,334.72,0.39,0.70
7283.2,331.20,0.43,0.70
7853.7,330.32,0.47,0.70
7700.0,331.72,0.46,0.70
7780.9,346.65,0.46,0.73
8042.6,354.60,0.48,0.75
8244.7,367.71,0.49,0.77
8100.0,360.52,0.48,0.76
8234.5,380.84,0.49,0.80
8013.4,406.57,0.48,0.86
8200.8,470.43,0.49,0.99
8754.7,464.61,0.52,0.98
9318.4,470.54,0.55,0.99
9733.2,475.24,0.58,1.00
9906.0,466.27,0.59,0.99
9837.9,427.42,0.58,0.90
9946.8,434.85,0.59,0.92
10861.5,461.58,0.64,0.98
10912.7,457.96,0.65,0.97
11246.2,462.81,0.67,0.98
11623.9,466.93,0.69,0.99
11667.1,453.96,0.69,0.96
13749.6,422.48,0.82,0.89
16850.3,421.15,1.00,0.89
16047.6,451.74,1.00,0.96
14843.4,472.86,0.99,1.00
15059.6,436.49,1.00,1.00
